event_id,sport,market_type,selection,opening_line,closing_line,opening_odds,closing_odds,result,timestamp
38,NFL,moneyline,Selection_38,0.7,-2.7,110,110,1,2023-01-19 00:26:53.875917278
39,NFL,spread,Selection_39,-9.9,-10.1,110,110,0,2023-01-19 12:08:09.926617745
40,NBA,player_prop,Selection_40,-4.1,-5.0,-150,-150,0,2023-01-19 23:49:25.977318212
41,MLB,spread,Selection_41,-3.7,-3.9,115,115,0,2023-01-20 11:30:42.028018679
42,NBA,spread,Selection_42,5.5,4.0,-200,-200,1,2023-01-20 23:11:58.078719146
43,NBA,moneyline,Selection_43,1.1,1.1,175,175,0,2023-01-21 10:53:14.129419613
44,NBA,over_under,Selection_44,0.2,0.2,120,130,1,2023-01-21 22:34:30.180120080
45,NBA,over_under,Selection_45,-1.8,-4.9,110,120,1,2023-01-22 10:15:46.230820547
46,NBA,player_prop,Selection_46,6.2,3.2,100,105,1,2023-01-22 21:57:02.281521014
47,MLB,over_under,Selection_47,-5.4,-4.8,-110,-115,0,2023-01-23 09:38:18.332221481
48,MLB,over_under,Selection_48,-7.3,-8.2,-110,-110,1,2023-01-23 21:19:34.382921948
49,NBA,spread,Selection_49,2.8,0.9,-115,-110,1,2023-01-24 09:00:50.433622415
50,NFL,player_prop,Selection_50,-2.2,0.8,115,105,0,2023-01-24 20:42:06.484322881
51,NFL,spread,Selection_51,-5.6,-3.7,130,120,0,2023-01-25 08:23:22.535023348
52,NFL,moneyline,Selection_52,2.7,3.2,120,110,0,2023-01-25 20:04:38.585723815
53,MLB,over_under,Selection_53,8.1,8.1,100,100,0,2023-01-26 07:45:54.636424282
54,NBA,moneyline,Selection_54,-7.9,-9.5,-200,-200,0,2023-01-26 19:27:10.687124749
55,NFL,over_under,Selection_55,9.4,10.2,120,125,1,2023-01-27 07:08:26.737825216
56,MLB,over_under,Selection_56,-0.1,-0.7,150,150,0,2023-01-27 18:49:42.788525683
57,NBA,player_prop,Selection_57,4.2,5.0,-115,-115,1,2023-01-28 06:30:58.839226150
58,NHL,moneyline,Selection_58,0.6,2.4,100,100,1,2023-01-28 18:12:14.889926617
59,NBA,moneyline,Selection_59,-7.1,-3.0,175,175,0,2023-01-29 05:53:30.940627084
60,MLB,moneyline,Selection_60,-1.1,0.5,120,125,1,2023-01-29 17:34:46.991327551
61,NBA,spread,Selection_61,10.0,9.0,-110,-110,0,2023-01-30 05:16:03.042028018
62,NFL,moneyline,Selection_62,3.1,4.1,-175,-180,0,2023-01-30 16:57:19.092728485
63,NFL,moneyline,Selection_63,8.2,9.9,-250,-245,0,2023-01-31 04:38:35.143428952
64,NFL,over_under,Selection_64,5.1,3.7,-105,-95,1,2023-01-31 16:19:51.194129419
65,NBA,over_under,Selection_65,-4.0,-0.5,115,120,0,2023-02-01 04:01:07.244829886
66,NBA,moneyline,Selection_66,8.6,9.1,120,115,1,2023-02-01 15:42:23.295530353
67,NBA,player_prop,Selection_67,7.5,5.4,-150,-145,0,2023-02-02 03:23:39.346230820
68,NBA,moneyline,Selection_68,-6.9,-7.6,-175,-180,1,2023-02-02 15:04:55.396931287
69,MLB,over_under,Selection_69,-5.9,-7.0,150,150,0,2023-02-03 02:46:11.447631754
70,NFL,over_under,Selection_70,-9.1,-9.3,-110,-110,0,2023-02-03 14:27:27.498332221
71,NBA,player_prop,Selection_71,2.2,-1.9,100,100,1,2023-02-04 02:08:43.549032688
72,NFL,moneyline,Selection_72,-6.5,-7.3,150,150,0,2023-02-04 13:49:59.599733155
73,NFL,over_under,Selection_73,-2.1,-3.7,175,165,1,2023-02-05 01:31:15.650433622
74,NFL,spread,Selection_74,4.4,1.4,-175,-165,1,2023-02-05 13:12:31.701134089
75,NFL,moneyline,Selection_75,-7.9,-8.0,-250,-245,1,2023-02-06 00:53:47.751834556
76,NBA,moneyline,Selection_76,-7.4,-6.4,-200,-205,0,2023-02-06 12:35:03.802535023
77,NFL,player_prop,Selection_77,-1.2,-3.4,150,145,1,2023-02-07 00:16:19.853235490
78,NBA,moneyline,Selection_78,0.4,0.5,175,170,1,2023-02-07 11:57:35.903935957
79,NFL,player_prop,Selection_79,3.8,5.5,175,175,0,2023-02-07 23:38:51.954636424
80,NBA,moneyline,Selection_80,7.9,7.1,250,260,0,2023-02-08 11:20:08.005336891
81,NBA,over_under,Selection_81,-6.1,-7.9,250,250,1,2023-02-08 23:01:24.056037358
82,NBA,moneyline,Selection_82,-9.9,-9.1,-175,-185,0,2023-02-09 10:42:40.106737825
83,NFL,moneyline,Selection_83,-5.7,-5.2,120,120,0,2023-02-09 22:23:56.157438292
84,NBA,over_under,Selection_84,3.7,3.5,250,250,0,2023-02-10 10:05:12.208138759
85,NBA,spread,Selection_85,-6.7,-6.7,150,140,0,2023-02-10 21:46:28.258839226
86,NFL,moneyline,Selection_86,-2.1,-4.0,150,160,0,2023-02-11 09:27:44.309539693
87,NHL,player_prop,Selection_87,1.5,1.7,-120,-120,1,2023-02-11 21:09:00.360240160
88,NHL,spread,Selection_88,-2.6,-4.4,110,100,1,2023-02-12 08:50:16.410940627
89,NFL,moneyline,Selection_89,4.6,4.9,150,150,0,2023-02-12 20:31:32.461641094
90,NHL,moneyline,Selection_90,-1.6,0.5,-250,-245,0,2023-02-13 08:12:48.512341561
91,NFL,player_prop,Selection_91,0.5,0.1,-175,-170,1,2023-02-13 19:54:04.563042028
92,NBA,moneyline,Selection_92,4.4,3.9,-250,-245,1,2023-02-14 07:35:20.613742495
93,NFL,spread,Selection_93,-2.7,-4.5,-110,-110,0,2023-02-14 19:16:36.664442962
94,NFL,moneyline,Selection_94,-1.8,-0.4,115,115,1,2023-02-15 06:57:52.715143429
95,NFL,over_under,Selection_95,6.4,6.1,-120,-110,0,2023-02-15 18:39:08.765843896
96,NBA,player_prop,Selection_96,-1.3,-1.0,-200,-195,0,2023-02-16 06:20:24.816544363
97,NBA,over_under,Selection_97,3.3,3.4,-130,-120,0,2023-02-16 18:01:40.867244830
98,NBA,moneyline,Selection_98,9.1,10.7,-120,-130,1,2023-02-17 05:42:56.917945296
99,NFL,spread,Selection_99,-3.9,-5.2,-175,-185,1,2023-02-17 17:24:12.968645763
100,MLB,spread,Selection_100,1.3,3.4,200,210,1,2023-02-18 05:05:29.019346230
101,NFL,player_prop,Selection_101,-6.7,-6.5,130,125,1,2023-02-18 16:46:45.070046697
102,NHL,spread,Selection_102,3.4,2.1,-250,-250,1,2023-02-19 04:28:01.120747164
103,NBA,player_prop,Selection_103,-1.7,-3.5,100,110,1,2023-02-19 16:09:17.171447631
104,NBA,moneyline,Selection_104,-3.9,-5.2,-115,-105,0,2023-02-20 03:50:33.222148098
105,NBA,over_under,Selection_105,1.3,-0.5,-120,-110,0,2023-02-20 15:31:49.272848565
106,NFL,over_under,Selection_106,4.2,3.7,100,100,1,2023-02-21 03:13:05.323549032
107,NBA,spread,Selection_107,3.9,0.2,150,145,1,2023-02-21 14:54:21.374249499
108,NHL,moneyline,Selection_108,0.1,-2.1,115,115,1,2023-02-22 02:35:37.424949966
109,NHL,player_prop,Selection_109,-4.5,-6.5,-250,-250,1,2023-02-22 14:16:53.475650433
110,NBA,player_prop,Selection_110,-5.4,-6.9,-115,-115,1,2023-02-23 01:58:09.526350900
111,MLB,player_prop,Selection_111,2.1,1.4,100,105,1,2023-02-23 13:39:25.577051367
112,NHL,spread,Selection_112,-8.4,-7.8,100,90,0,2023-02-24 01:20:41.627751834
113,NFL,spread,Selection_113,4.8,7.0,115,110,0,2023-02-24 13:01:57.678452301
114,NFL,player_prop,Selection_114,2.5,0.6,-110,-100,1,2023-02-25 00:43:13.729152768
115,NFL,spread,Selection_115,0.8,-0.1,175,175,1,2023-02-25 12:24:29.779853235
116,NBA,spread,Selection_116,-5.1,-2.3,175,175,1,2023-02-26 00:05:45.830553702
117,NFL,player_prop,Selection_117,-3.5,-7.5,110,115,0,2023-02-26 11:47:01.881254169
118,NBA,moneyline,Selection_118,3.4,5.2,200,200,1,2023-02-26 23:28:17.931954636
119,NFL,over_under,Selection_119,0.9,0.0,-105,-105,1,2023-02-27 11:09:33.982655103
120,MLB,over_under,Selection_120,-0.8,-0.4,150,140,0,2023-02-27 22:50:50.033355570
121,NHL,over_under,Selection_121,-0.5,0.4,175,175,1,2023-02-28 10:32:06.084056037
122,NBA,spread,Selection_122,2.3,3.9,-200,-205,1,2023-02-28 22:13:22.134756504
123,NFL,moneyline,Selection_123,2.9,4.5,250,255,1,2023-03-01 09:54:38.185456971
124,NBA,player_prop,Selection_124,9.0,8.8,-105,-105,0,2023-03-01 21:35:54.236157438
125,NBA,over_under,Selection_125,-8.9,-7.9,-105,-95,1,2023-03-02 09:17:10.286857905
126,NBA,over_under,Selection_126,-10.0,-10.4,150,150,0,2023-03-02 20:58:26.337558372
127,NBA,player_prop,Selection_127,5.6,5.2,130,130,1,2023-03-03 08:39:42.388258839
128,MLB,over_under,Selection_128,-4.6,-5.2,110,110,0,2023-03-03 20:20:58.438959306
129,NFL,over_under,Selection_129,3.7,4.6,-150,-150,0,2023-03-04 08:02:14.489659773
130,MLB,moneyline,Selection_130,-1.4,0.0,-250,-240,1,2023-03-04 19:43:30.540360240
131,NFL,player_prop,Selection_131,-8.6,-9.7,-200,-200,0,2023-03-05 07:24:46.591060707
132,NBA,spread,Selection_132,4.7,5.8,-115,-110,0,2023-03-05 19:06:02.641761174
133,NFL,over_under,Selection_133,7.8,8.6,-120,-120,0,2023-03-06 06:47:18.692461641
134,NHL,over_under,Selection_134,4.2,3.3,-110,-110,1,2023-03-06 18:28:34.743162108
135,MLB,spread,Selection_135,-5.4,-5.3,-250,-250,1,2023-03-07 06:09:50.793862575
136,NFL,spread,Selection_136,-6.1,-5.7,-200,-190,0,2023-03-07 17:51:06.844563042
137,NBA,spread,Selection_137,-7.7,-8.6,120,115,1,2023-03-08 05:32:22.895263509
138,NFL,moneyline,Selection_138,-4.4,-6.9,-150,-140,0,2023-03-08 17:13:38.945963976
139,NHL,over_under,Selection_139,4.8,6.0,120,130,1,2023-03-09 04:54:54.996664443
140,NFL,over_under,Selection_140,-7.2,-5.4,-115,-125,0,2023-03-09 16:36:11.047364910
141,NBA,over_under,Selection_141,-4.9,-3.8,-250,-260,1,2023-03-10 04:17:27.098065377
142,MLB,moneyline,Selection_142,7.8,7.5,-130,-130,1,2023-03-10 15:58:43.148765844
143,NFL,spread,Selection_143,-2.7,-2.7,115,115,0,2023-03-11 03:39:59.199466311
144,NBA,player_prop,Selection_144,0.6,-1.0,150,160,0,2023-03-11 15:21:15.250166778
145,NBA,spread,Selection_145,-3.2,-3.3,175,180,0,2023-03-12 03:02:31.300867245
146,NFL,over_under,Selection_146,-7.4,-6.7,200,190,1,2023-03-12 14:43:47.351567712
147,NFL,spread,Selection_147,-5.8,-9.1,105,110,0,2023-03-13 02:25:03.402268179
148,MLB,moneyline,Selection_148,0.6,0.1,-250,-260,1,2023-03-13 14:06:19.452968646
149,NBA,spread,Selection_149,-7.5,-8.8,250,245,1,2023-03-14 01:47:35.503669113
150,NFL,over_under,Selection_150,-6.6,-7.7,-120,-120,0,2023-03-14 13:28:51.554369580
151,NFL,moneyline,Selection_151,-3.9,-4.6,150,140,1,2023-03-15 01:10:07.605070046
152,NFL,moneyline,Selection_152,1.6,-0.1,175,175,1,2023-03-15 12:51:23.655770513
153,NFL,moneyline,Selection_153,8.3,9.4,110,120,0,2023-03-16 00:32:39.706470980
154,NBA,moneyline,Selection_154,-7.8,-7.8,120,115,1,2023-03-16 12:13:55.757171447
155,NBA,player_prop,Selection_155,5.2,3.1,130,130,0,2023-03-16 23:55:11.807871914
156,NBA,spread,Selection_156,-0.2,-0.3,150,160,1,2023-03-17 11:36:27.858572381
157,NFL,over_under,Selection_157,2.0,1.5,-105,-115,1,2023-03-17 23:17:43.909272848
158,NBA,moneyline,Selection_158,-2.7,-1.3,-115,-115,0,2023-03-18 10:58:59.959973315
159,NBA,spread,Selection_159,5.3,7.5,100,100,1,2023-03-18 22:40:16.010673782
160,MLB,moneyline,Selection_160,-5.3,-6.3,105,105,1,2023-03-19 10:21:32.061374249
161,NFL,moneyline,Selection_161,-6.7,-4.1,120,110,1,2023-03-19 22:02:48.112074716
162,NFL,player_prop,Selection_162,5.5,6.5,200,200,1,2023-03-20 09:44:04.162775183
163,NFL,spread,Selection_163,-0.0,0.8,100,100,0,2023-03-20 21:25:20.213475650
164,NFL,moneyline,Selection_164,2.2,-1.3,200,190,1,2023-03-21 09:06:36.264176117
165,NFL,player_prop,Selection_165,-4.8,-4.2,105,95,0,2023-03-21 20:47:52.314876584
166,NBA,player_prop,Selection_166,-4.6,-5.6,200,200,1,2023-03-22 08:29:08.365577051
167,NBA,spread,Selection_167,2.4,1.4,-250,-250,0,2023-03-22 20:10:24.416277518
168,NHL,spread,Selection_168,-9.3,-6.8,-200,-200,1,2023-03-23 07:51:40.466977985
169,NBA,player_prop,Selection_169,-2.8,-5.1,-115,-115,0,2023-03-23 19:32:56.517678452
170,NBA,moneyline,Selection_170,5.2,5.9,175,180,1,2023-03-24 07:14:12.568378919
171,NFL,spread,Selection_171,6.3,7.5,250,240,1,2023-03-24 18:55:28.619079386
172,NFL,over_under,Selection_172,8.6,8.9,200,200,0,2023-03-25 06:36:44.669779853
173,NBA,over_under,Selection_173,-2.3,-3.3,115,115,1,2023-03-25 18:18:00.720480320
174,NBA,moneyline,Selection_174,-2.1,-2.1,-250,-240,1,2023-03-26 05:59:16.771180787
175,MLB,moneyline,Selection_175,9.0,8.7,-175,-185,1,2023-03-26 17:40:32.821881254
176,NBA,spread,Selection_176,-4.0,-2.4,110,110,0,2023-03-27 05:21:48.872581721
177,NBA,moneyline,Selection_177,-0.8,-0.9,-130,-135,0,2023-03-27 17:03:04.923282188
178,NFL,moneyline,Selection_178,-7.0,-7.2,-130,-140,0,2023-03-28 04:44:20.973982655
179,MLB,over_under,Selection_179,-5.7,-5.7,-250,-245,1,2023-03-28 16:25:37.024683122
180,NBA,player_prop,Selection_180,-4.9,-1.6,-200,-190,1,2023-03-29 04:06:53.075383589
181,NBA,spread,Selection_181,-7.5,-8.3,120,110,1,2023-03-29 15:48:09.126084056
182,NFL,moneyline,Selection_182,6.4,6.2,-120,-130,1,2023-03-30 03:29:25.176784523
183,NBA,over_under,Selection_183,-3.5,-3.6,100,105,1,2023-03-30 15:10:41.227484990
184,NBA,spread,Selection_184,-6.1,-6.2,110,110,1,2023-03-31 02:51:57.278185457
185,MLB,moneyline,Selection_185,-7.7,-9.9,115,115,1,2023-03-31 14:33:13.328885924
186,NBA,player_prop,Selection_186,3.0,0.2,-110,-100,1,2023-04-01 02:14:29.379586391
187,NHL,moneyline,Selection_187,-9.8,-8.1,130,125,1,2023-04-01 13:55:45.430286858
188,NBA,over_under,Selection_188,-4.0,-6.1,-105,-105,1,2023-04-02 01:37:01.480987325
189,NFL,over_under,Selection_189,-8.7,-8.4,-200,-200,1,2023-04-02 13:18:17.531687792
190,NHL,over_under,Selection_190,-8.1,-6.1,200,200,1,2023-04-03 00:59:33.582388259
191,NFL,moneyline,Selection_191,7.4,7.1,150,150,1,2023-04-03 12:40:49.633088726
192,MLB,moneyline,Selection_192,-4.8,-5.2,115,125,0,2023-04-04 00:22:05.683789193
193,NFL,spread,Selection_193,3.2,4.8,175,175,0,2023-04-04 12:03:21.734489660
194,NFL,moneyline,Selection_194,-9.3,-11.9,-175,-180,1,2023-04-04 23:44:37.785190126
195,NFL,player_prop,Selection_195,-0.3,1.1,-150,-150,0,2023-04-05 11:25:53.835890593
196,MLB,over_under,Selection_196,2.5,2.6,105,105,1,2023-04-05 23:07:09.886591060
197,NBA,over_under,Selection_197,-7.3,-4.7,105,110,1,2023-04-06 10:48:25.937291527
198,NBA,over_under,Selection_198,-8.7,-8.7,100,110,1,2023-04-06 22:29:41.987991994
199,NBA,over_under,Selection_199,-9.1,-6.8,-130,-120,1,2023-04-07 10:10:58.038692461
200,NFL,moneyline,Selection_200,-6.6,-6.5,-250,-245,0,2023-04-07 21:52:14.089392928
201,NFL,spread,Selection_201,-5.8,-6.9,-150,-140,1,2023-04-08 09:33:30.140093395
202,NFL,moneyline,Selection_202,7.9,9.8,200,190,1,2023-04-08 21:14:46.190793862
203,NFL,player_prop,Selection_203,5.6,5.6,250,245,1,2023-04-09 08:56:02.241494329
204,NFL,over_under,Selection_204,1.1,1.8,-115,-125,0,2023-04-09 20:37:18.292194796
205,NHL,moneyline,Selection_205,3.2,2.0,175,175,1,2023-04-10 08:18:34.342895263
206,NFL,player_prop,Selection_206,8.9,10.6,-105,-110,1,2023-04-10 19:59:50.393595730
207,MLB,player_prop,Selection_207,-6.8,-8.1,250,250,0,2023-04-11 07:41:06.444296197
208,NBA,over_under,Selection_208,-4.6,-6.8,-120,-120,1,2023-04-11 19:22:22.494996664
209,MLB,spread,Selection_209,-7.3,-8.7,100,100,1,2023-04-12 07:03:38.545697131
210,NBA,spread,Selection_210,5.6,5.6,175,165,0,2023-04-12 18:44:54.596397598
211,NHL,player_prop,Selection_211,-9.3,-7.9,-115,-115,0,2023-04-13 06:26:10.647098065
212,MLB,spread,Selection_212,-9.6,-9.2,100,100,0,2023-04-13 18:07:26.697798532
213,NBA,spread,Selection_213,8.1,9.8,175,175,1,2023-04-14 05:48:42.748498999
214,NFL,moneyline,Selection_214,1.3,-0.1,130,125,0,2023-04-14 17:29:58.799199466
215,NBA,player_prop,Selection_215,-2.8,-3.0,-115,-115,1,2023-04-15 05:11:14.849899933
216,NFL,over_under,Selection_216,-9.0,-7.5,105,115,0,2023-04-15 16:52:30.900600400
217,NFL,over_under,Selection_217,3.7,4.2,175,165,0,2023-04-16 04:33:46.951300866
218,MLB,moneyline,Selection_218,-0.0,-1.1,-120,-120,0,2023-04-16 16:15:03.002001334
219,NFL,spread,Selection_219,3.0,1.0,150,160,0,2023-04-17 03:56:19.052701800
220,NFL,over_under,Selection_220,9.6,11.9,-105,-95,1,2023-04-17 15:37:35.103402268
221,NFL,over_under,Selection_221,8.3,9.3,100,105,1,2023-04-18 03:18:51.154102734
222,NBA,player_prop,Selection_222,-6.3,-5.8,250,245,0,2023-04-18 15:00:07.204803202
223,NBA,player_prop,Selection_223,5.4,5.6,-200,-195,1,2023-04-19 02:41:23.255503668
224,NBA,over_under,Selection_224,-6.9,-6.6,-115,-115,0,2023-04-19 14:22:39.306204136
225,NBA,spread,Selection_225,-0.9,-2.4,130,130,1,2023-04-20 02:03:55.356904602
226,NFL,spread,Selection_226,1.0,4.5,120,120,0,2023-04-20 13:45:11.407605070
227,NHL,spread,Selection_227,7.9,7.1,-150,-145,1,2023-04-21 01:26:27.458305536
228,NBA,over_under,Selection_228,-5.0,-4.2,250,250,0,2023-04-21 13:07:43.509006004
229,NFL,player_prop,Selection_229,-4.5,-5.2,-175,-175,0,2023-04-22 00:48:59.559706470
230,NFL,over_under,Selection_230,3.1,1.1,200,200,0,2023-04-22 12:30:15.610406938
231,NHL,moneyline,Selection_231,8.0,9.4,-200,-210,1,2023-04-23 00:11:31.661107404
232,NFL,player_prop,Selection_232,-2.8,-3.6,-105,-115,1,2023-04-23 11:52:47.711807872
233,NFL,moneyline,Selection_233,1.4,0.9,100,100,1,2023-04-23 23:34:03.762508338
234,NBA,over_under,Selection_234,-4.7,-1.9,105,100,1,2023-04-24 11:15:19.813208806
235,MLB,player_prop,Selection_235,-7.3,-8.9,130,125,1,2023-04-24 22:56:35.863909272
236,NBA,over_under,Selection_236,2.5,1.1,105,110,1,2023-04-25 10:37:51.914609740
237,MLB,player_prop,Selection_237,7.3,5.0,-175,-175,0,2023-04-25 22:19:07.965310206
238,NFL,moneyline,Selection_238,4.9,2.9,-200,-200,1,2023-04-26 10:00:24.016010674
239,NBA,spread,Selection_239,-2.1,-3.1,-200,-200,1,2023-04-26 21:41:40.066711140
240,NFL,over_under,Selection_240,-0.8,-1.5,110,115,0,2023-04-27 09:22:56.117411608
241,NFL,player_prop,Selection_241,8.4,8.7,130,130,0,2023-04-27 21:04:12.168112074
242,NFL,player_prop,Selection_242,-3.8,-1.9,200,200,0,2023-04-28 08:45:28.218812542
243,NBA,spread,Selection_243,9.6,8.1,115,115,0,2023-04-28 20:26:44.269513008
244,NHL,player_prop,Selection_244,-0.4,-1.3,100,100,1,2023-04-29 08:08:00.320213476
245,NBA,spread,Selection_245,-8.8,-10.3,-130,-130,1,2023-04-29 19:49:16.370913942
246,NBA,spread,Selection_246,-9.4,-9.8,105,110,0,2023-04-30 07:30:32.421614410
247,NFL,over_under,Selection_247,4.9,4.5,115,110,0,2023-04-30 19:11:48.472314876
248,MLB,moneyline,Selection_248,-3.0,-1.5,130,130,0,2023-05-01 06:53:04.523015344
249,NFL,spread,Selection_249,-2.9,-2.6,-105,-95,1,2023-05-01 18:34:20.573715810
250,NBA,moneyline,Selection_250,3.4,1.9,-105,-100,0,2023-05-02 06:15:36.624416278
251,NBA,player_prop,Selection_251,3.5,5.1,130,125,1,2023-05-02 17:56:52.675116744
252,NFL,spread,Selection_252,3.4,5.2,-250,-250,0,2023-05-03 05:38:08.725817212
253,NBA,over_under,Selection_253,5.1,7.4,-130,-130,1,2023-05-03 17:19:24.776517678
254,NFL,spread,Selection_254,-1.6,-2.7,250,250,0,2023-05-04 05:00:40.827218146
255,NFL,over_under,Selection_255,3.4,1.7,200,190,1,2023-05-04 16:41:56.877918612
256,NBA,moneyline,Selection_256,-6.4,-8.8,-175,-175,0,2023-05-05 04:23:12.928619080
257,NBA,moneyline,Selection_257,8.9,8.4,-200,-205,1,2023-05-05 16:04:28.979319546
258,MLB,player_prop,Selection_258,3.1,1.8,250,245,1,2023-05-06 03:45:45.030020012
259,NHL,spread,Selection_259,9.3,9.7,200,195,1,2023-05-06 15:27:01.080720480
260,NFL,over_under,Selection_260,-1.9,-0.6,200,195,1,2023-05-07 03:08:17.131420946
261,NBA,player_prop,Selection_261,-8.3,-9.0,-110,-110,0,2023-05-07 14:49:33.182121414
262,NFL,moneyline,Selection_262,-9.1,-9.2,175,165,1,2023-05-08 02:30:49.232821880
263,NFL,player_prop,Selection_263,7.4,6.2,-250,-260,0,2023-05-08 14:12:05.283522348
264,NHL,spread,Selection_264,-3.9,-3.0,115,105,0,2023-05-09 01:53:21.334222814
265,NFL,player_prop,Selection_265,8.2,5.6,100,110,0,2023-05-09 13:34:37.384923282
266,NFL,spread,Selection_266,7.3,8.1,-105,-110,1,2023-05-10 01:15:53.435623748
267,NBA,moneyline,Selection_267,-6.5,-3.7,-130,-125,0,2023-05-10 12:57:09.486324216
268,NHL,moneyline,Selection_268,2.4,2.6,-200,-200,0,2023-05-11 00:38:25.537024682
269,MLB,moneyline,Selection_269,1.3,3.0,130,135,0,2023-05-11 12:19:41.587725150
270,NBA,player_prop,Selection_270,-6.1,-4.7,-120,-110,0,2023-05-12 00:00:57.638425616
271,NBA,spread,Selection_271,7.8,8.4,-150,-145,0,2023-05-12 11:42:13.689126084
272,NFL,moneyline,Selection_272,-8.0,-9.2,-120,-115,0,2023-05-12 23:23:29.739826550
273,NFL,spread,Selection_273,-8.8,-8.9,200,205,1,2023-05-13 11:04:45.790527018
274,NBA,spread,Selection_274,1.5,2.4,-115,-120,1,2023-05-13 22:46:01.841227484
275,NFL,moneyline,Selection_275,-0.4,-0.7,-105,-95,0,2023-05-14 10:27:17.891927952
276,NBA,moneyline,Selection_276,5.0,2.2,250,250,1,2023-05-14 22:08:33.942628418
277,NBA,spread,Selection_277,-5.4,-7.2,175,170,0,2023-05-15 09:49:49.993328886
278,NFL,over_under,Selection_278,-4.9,-4.9,130,125,1,2023-05-15 21:31:06.044029352
279,NBA,spread,Selection_279,-2.3,-4.5,175,175,0,2023-05-16 09:12:22.094729820
280,MLB,moneyline,Selection_280,-4.8,-5.9,-150,-145,0,2023-05-16 20:53:38.145430286
281,NFL,spread,Selection_281,-4.5,-5.2,250,260,1,2023-05-17 08:34:54.196130754
282,NBA,over_under,Selection_282,-0.6,-0.9,-115,-120,0,2023-05-17 20:16:10.246831220
