entry_id,user_id,contest_id,lineup,total_score,payout,entry_time,rank
45,97,813,"[18, 77, 140, 270, 332, 371, 396, 412]",262.7,503.81,2023-01-17 01:37:58.139069534,29
46,153,562,"[7, 78, 79, 161, 309, 327, 408, 420]",174.0,357.94,2023-01-17 10:23:49.914957478,21
47,29,832,"[50, 108, 121, 143, 226, 250, 416, 488]",233.5,539.39,2023-01-17 19:09:41.690845422,84
48,153,95,"[30, 103, 196, 257, 313, 317, 405, 427]",171.5,440.54,2023-01-18 03:55:33.466733366,51
49,73,770,"[94, 97, 148, 230, 281, 335, 349, 411]",227.0,374.43,2023-01-18 12:41:25.242621310,5
50,254,941,"[143, 146, 190, 218, 359, 376, 418, 457]",124.5,77.16,2023-01-18 21:27:17.018509254,70
51,4,351,"[55, 80, 125, 158, 220, 328, 362, 390]",148.4,0.0,2023-01-19 06:13:08.794397198,67
52,237,62,"[22, 33, 166, 190, 211, 222, 352, 394]",213.6,0.0,2023-01-19 14:59:00.570285142,34
53,38,142,"[68, 77, 81, 131, 146, 161, 408, 444]",171.1,0.0,2023-01-19 23:44:52.346173086,21
54,20,842,"[42, 45, 75, 153, 252, 261, 345, 441]",180.9,0.0,2023-01-20 08:30:44.122061030,16
55,113,734,"[19, 98, 245, 308, 309, 352, 360, 499]",154.9,421.48,2023-01-20 17:16:35.897948974,42
56,23,868,"[64, 103, 114, 161, 197, 200, 301, 450]",187.2,0.0,2023-01-21 02:02:27.673836918,15
57,136,111,"[40, 102, 133, 137, 175, 289, 322, 389]",138.8,0.0,2023-01-21 10:48:19.449724862,80
58,248,616,"[220, 227, 242, 329, 429, 436, 468, 480]",139.1,0.0,2023-01-21 19:34:11.225612806,82
59,97,527,"[42, 237, 249, 277, 309, 366, 412, 486]",146.2,0.0,2023-01-22 04:20:03.001500750,60
60,33,782,"[3, 19, 63, 103, 151, 234, 283, 404]",160.1,0.0,2023-01-22 13:05:54.777388694,58
61,135,671,"[20, 73, 116, 240, 310, 327, 376, 440]",129.5,128.8,2023-01-22 21:51:46.553276638,33
62,255,157,"[137, 145, 158, 280, 334, 361, 431, 486]",223.0,0.0,2023-01-23 06:37:38.329164582,34
63,278,539,"[6, 49, 61, 251, 394, 418, 437, 462]",96.6,0.0,2023-01-23 15:23:30.105052526,36
64,133,597,"[15, 65, 91, 100, 228, 355, 383, 438]",200.7,439.43,2023-01-24 00:09:21.880940470,28
65,238,9,"[28, 37, 66, 160, 191, 205, 349, 413]",155.6,424.74,2023-01-24 08:55:13.656828414,31
66,15,276,"[31, 110, 128, 140, 202, 246, 296, 488]",217.5,373.9,2023-01-24 17:41:05.432716358,36
67,277,227,"[55, 67, 100, 141, 178, 346, 367, 411]",170.9,455.01,2023-01-25 02:26:57.208604302,39
68,126,186,"[88, 175, 249, 299, 317, 378, 384, 491]",140.3,0.0,2023-01-25 11:12:48.984492246,40
69,17,591,"[54, 63, 88, 138, 155, 157, 205, 300]",132.6,256.36,2023-01-25 19:58:40.760380190,52
70,50,216,"[94, 192, 352, 353, 442, 456, 466, 498]",196.9,455.34,2023-01-26 04:44:32.536268134,54
71,135,433,"[1, 75, 273, 309, 331, 343, 382, 420]",194.7,151.2,2023-01-26 13:30:24.312156078,5
72,118,569,"[133, 145, 184, 225, 305, 315, 395, 466]",164.5,484.76,2023-01-26 22:16:16.088044022,41
73,60,656,"[42, 71, 288, 294, 411, 435, 460, 487]",152.1,0.0,2023-01-27 07:02:07.863931966,14
74,125,356,"[50, 146, 187, 316, 347, 371, 382, 401]",153.3,199.32,2023-01-27 15:47:59.639819910,18
75,116,843,"[73, 119, 207, 219, 228, 276, 316, 326]",183.9,251.04,2023-01-28 00:33:51.415707854,32
76,173,392,"[24, 148, 205, 223, 270, 294, 345, 392]",167.4,291.07,2023-01-28 09:19:43.191595798,31
77,187,579,"[4, 51, 132, 220, 240, 289, 322, 451]",235.3,325.84,2023-01-28 18:05:34.967483742,15
78,88,275,"[194, 374, 386, 397, 418, 437, 457, 487]",199.6,262.89,2023-01-29 02:51:26.743371686,52
79,203,494,"[91, 108, 142, 221, 243, 380, 383, 444]",174.2,326.5,2023-01-29 11:37:18.519259630,47
80,182,617,"[28, 117, 145, 196, 282, 360, 411, 451]",196.2,0.0,2023-01-29 20:23:10.295147574,11
81,168,451,"[17, 44, 74, 86, 131, 319, 344, 356]",139.3,0.0,2023-01-30 05:09:02.071035518,98
82,181,420,"[30, 129, 141, 175, 220, 284, 392, 469]",150.8,291.52,2023-01-30 13:54:53.846923462,65
83,300,985,"[77, 140, 216, 245, 252, 327, 433, 478]",201.7,0.0,2023-01-30 22:40:45.622811406,9
84,130,700,"[24, 37, 87, 168, 176, 313, 366, 376]",181.9,0.0,2023-01-31 07:26:37.398699349,39
85,149,164,"[29, 138, 149, 182, 352, 367, 435, 438]",183.4,0.0,2023-01-31 16:12:29.174587293,86
86,209,779,"[60, 80, 81, 179, 214, 242, 420, 465]",194.4,0.0,2023-02-01 00:58:20.950475237,20
87,111,563,"[31, 54, 173, 245, 257, 320, 338, 436]",154.8,278.45,2023-02-01 09:44:12.726363181,38
88,137,638,"[52, 72, 184, 266, 321, 346, 348, 372]",122.9,195.66,2023-02-01 18:30:04.502251125,90
89,211,592,"[44, 73, 205, 341, 355, 408, 493, 498]",124.4,0.0,2023-02-02 03:15:56.278139069,18
90,146,183,"[88, 128, 146, 193, 251, 291, 417, 453]",192.1,0.0,2023-02-02 12:01:48.054027013,62
91,84,310,"[113, 181, 242, 251, 289, 296, 420, 451]",90.2,64.46,2023-02-02 20:47:39.829914957,69
92,30,17,"[10, 13, 60, 99, 200, 369, 445, 461]",146.9,0.0,2023-02-03 05:33:31.605802901,50
93,65,446,"[44, 51, 56, 168, 191, 281, 290, 432]",168.9,0.0,2023-02-03 14:19:23.381690845,25
94,24,170,"[61, 112, 119, 231, 246, 262, 319, 448]",199.2,0.0,2023-02-03 23:05:15.157578789,71
95,211,280,"[42, 131, 177, 182, 311, 394, 411, 415]",129.1,268.33,2023-02-04 07:51:06.933466733,39
96,222,913,"[81, 134, 150, 157, 241, 438, 447, 485]",182.8,468.58,2023-02-04 16:36:58.709354677,29
97,90,816,"[13, 26, 63, 207, 237, 280, 334, 424]",227.3,411.19,2023-02-05 01:22:50.485242621,41
98,106,340,"[133, 246, 286, 304, 345, 449, 455, 499]",190.7,0.0,2023-02-05 10:08:42.261130565,63
99,172,726,"[35, 45, 83, 163, 353, 461, 465, 474]",177.4,273.87,2023-02-05 18:54:34.037018509,96
100,230,710,"[70, 120, 152, 159, 267, 319, 436, 448]",167.5,0.0,2023-02-06 03:40:25.812906453,34
101,77,519,"[66, 179, 257, 267, 290, 324, 385, 391]",191.7,245.4,2023-02-06 12:26:17.588794397,53
102,68,910,"[152, 191, 296, 315, 340, 349, 369, 379]",155.1,0.0,2023-02-06 21:12:09.364682341,55
103,92,11,"[11, 282, 331, 358, 419, 420, 474, 489]",140.5,251.91,2023-02-07 05:58:01.140570285,2
104,88,524,"[8, 81, 87, 91, 304, 307, 416, 480]",210.1,331.1,2023-02-07 14:43:52.916458229,76
105,50,622,"[112, 178, 231, 320, 428, 430, 462, 464]",189.4,394.59,2023-02-07 23:29:44.692346173,30
106,103,133,"[19, 25, 29, 56, 135, 279, 400, 420]",235.3,563.96,2023-02-08 08:15:36.468234117,28
107,46,901,"[99, 117, 125, 258, 270, 297, 355, 429]",192.4,105.02,2023-02-08 17:01:28.244122061,90
108,179,640,"[23, 79, 123, 194, 329, 451, 480, 487]",227.7,429.5,2023-02-09 01:47:20.020010005,44
109,267,148,"[11, 131, 140, 167, 177, 227, 282, 401]",194.3,0.0,2023-02-09 10:33:11.795897949,61
110,268,566,"[165, 212, 230, 287, 369, 394, 441, 455]",178.1,0.0,2023-02-09 19:19:03.571785893,36
111,8,823,"[30, 52, 149, 175, 214, 330, 415, 431]",52.8,75.67,2023-02-10 04:04:55.347673837,16
112,265,954,"[36, 119, 144, 216, 272, 325, 332, 400]",193.4,392.93,2023-02-10 12:50:47.123561781,30
113,78,79,"[10, 36, 73, 182, 320, 340, 367, 374]",168.8,0.0,2023-02-10 21:36:38.899449725,62
114,240,346,"[15, 99, 218, 249, 290, 310, 362, 489]",96.6,0.0,2023-02-11 06:22:30.675337669,19
115,258,609,"[41, 47, 124, 253, 270, 271, 359, 365]",257.1,486.6,2023-02-11 15:08:22.451225613,17
116,196,249,"[7, 55, 74, 113, 144, 167, 221, 351]",113.5,250.24,2023-02-11 23:54:14.227113557,84
117,131,639,"[136, 140, 284, 334, 340, 419, 438, 444]",266.7,372.47,2023-02-12 08:40:06.003001501,21
118,261,542,"[41, 52, 67, 202, 252, 412, 472, 484]",114.3,174.11,2023-02-12 17:25:57.778889445,79
119,242,24,"[73, 214, 243, 271, 356, 411, 433, 490]",173.7,451.79,2023-02-13 02:11:49.554777389,52
120,171,471,"[49, 115, 198, 269, 423, 433, 459, 461]",171.9,488.82,2023-02-13 10:57:41.330665332,42
121,147,201,"[25, 92, 172, 220, 232, 370, 421, 447]",182.4,286.38,2023-02-13 19:43:33.106553276,10
122,270,131,"[110, 198, 220, 260, 288, 346, 445, 453]",227.7,0.0,2023-02-14 04:29:24.882441220,16
123,149,634,"[172, 226, 246, 282, 323, 358, 383, 412]",191.8,452.32,2023-02-14 13:15:16.658329164,91
124,299,356,"[3, 4, 163, 164, 168, 207, 354, 411]",178.4,0.0,2023-02-14 22:01:08.434217108,31
125,28,944,"[27, 36, 46, 93, 302, 416, 417, 494]",212.4,150.5,2023-02-15 06:47:00.210105052,98
126,149,839,"[1, 15, 82, 87, 230, 242, 379, 408]",194.3,0.0,2023-02-15 15:32:51.985992996,21
127,280,150,"[32, 56, 115, 169, 172, 207, 229, 301]",131.2,240.15,2023-02-16 00:18:43.761880940,19
128,182,526,"[50, 61, 113, 156, 210, 233, 249, 379]",169.3,0.0,2023-02-16 09:04:35.537768884,18
129,166,304,"[64, 147, 284, 312, 391, 399, 405, 462]",92.8,0.0,2023-02-16 17:50:27.313656828,36
130,17,541,"[33, 72, 166, 303, 322, 371, 483, 497]",155.9,171.35,2023-02-17 02:36:19.089544772,95
131,150,50,"[39, 67, 150, 165, 362, 410, 489, 492]",210.0,171.63,2023-02-17 11:22:10.865432716,54
132,45,464,"[71, 118, 129, 134, 376, 425, 441, 486]",139.9,0.0,2023-02-17 20:08:02.641320660,84
133,189,240,"[1, 38, 78, 140, 310, 364, 367, 371]",202.1,381.47,2023-02-18 04:53:54.417208604,86
134,139,482,"[14, 74, 78, 81, 99, 170, 173, 200]",147.6,0.0,2023-02-18 13:39:46.193096548,72
135,61,906,"[49, 57, 104, 150, 193, 215, 242, 333]",177.5,0.0,2023-02-18 22:25:37.968984492,68
136,294,455,"[35, 95, 132, 217, 219, 226, 294, 433]",199.2,571.44,2023-02-19 07:11:29.744872436,9
137,33,985,"[39, 135, 142, 316, 382, 428, 443, 475]",127.8,333.8,2023-02-19 15:57:21.520760380,51
138,299,283,"[32, 82, 265, 277, 351, 438, 450, 461]",192.6,0.0,2023-02-20 00:43:13.296648324,12
139,112,335,"[83, 84, 154, 221, 326, 414, 431, 472]",160.5,205.08,2023-02-20 09:29:05.072536268,81
140,291,352,"[109, 136, 201, 207, 281, 286, 417, 492]",159.3,0.0,2023-02-20 18:14:56.848424212,12
141,37,668,"[12, 63, 179, 346, 363, 402, 480, 486]",209.9,402.88,2023-02-21 03:00:48.624312156,9
142,100,649,"[184, 234, 251, 263, 273, 323, 418, 453]",257.9,0.0,2023-02-21 11:46:40.400200100,18
143,23,327,"[86, 177, 221, 414, 427, 444, 449, 489]",164.9,0.0,2023-02-21 20:32:32.176088044,24
144,218,336,"[82, 137, 144, 191, 307, 355, 366, 467]",160.7,254.21,2023-02-22 05:18:23.951975988,70
145,89,666,"[29, 146, 167, 339, 384, 438, 463, 486]",167.2,0.0,2023-02-22 14:04:15.727863932,28
146,209,995,"[36, 175, 204, 217, 238, 434, 439, 451]",172.4,0.0,2023-02-22 22:50:07.503751876,67
147,271,81,"[192, 283, 287, 297, 352, 356, 361, 444]",107.7,139.94,2023-02-23 07:35:59.279639820,19
148,237,87,"[28, 45, 89, 204, 349, 404, 472, 491]",155.4,265.49,2023-02-23 16:21:51.055527764,22
149,209,776,"[20, 21, 119, 223, 274, 414, 429, 480]",217.9,244.06,2023-02-24 01:07:42.831415708,6
150,278,258,"[126, 153, 177, 180, 288, 337, 346, 395]",215.2,152.42,2023-02-24 09:53:34.607303652,83
151,206,991,"[67, 96, 121, 152, 337, 406, 425, 478]",145.8,366.66,2023-02-24 18:39:26.383191596,9
152,78,185,"[55, 96, 111, 171, 176, 214, 238, 401]",257.6,440.61,2023-02-25 03:25:18.159079540,19
153,98,692,"[69, 92, 163, 224, 229, 386, 414, 487]",187.1,289.94,2023-02-25 12:11:09.934967484,15
154,94,698,"[42, 88, 127, 206, 245, 278, 308, 435]",95.5,0.0,2023-02-25 20:57:01.710855428,49
155,80,123,"[92, 121, 185, 220, 256, 317, 322, 469]",189.0,493.07,2023-02-26 05:42:53.486743372,39
156,38,889,"[22, 94, 125, 240, 282, 316, 365, 384]",201.8,346.4,2023-02-26 14:28:45.262631316,56
157,228,96,"[34, 144, 154, 194, 238, 260, 439, 484]",147.7,0.0,2023-02-26 23:14:37.038519260,32
158,134,605,"[8, 23, 177, 208, 227, 312, 448, 486]",124.3,317.15,2023-02-27 08:00:28.814407204,28
159,196,515,"[8, 70, 126, 143, 213, 303, 344, 472]",196.9,0.0,2023-02-27 16:46:20.590295148,52
160,282,904,"[157, 248, 253, 265, 266, 330, 376, 386]",212.7,429.73,2023-02-28 01:32:12.366183092,81
161,101,443,"[93, 226, 278, 299, 424, 464, 476, 499]",197.4,99.95,2023-02-28 10:18:04.142071036,62
162,75,514,"[52, 193, 204, 224, 308, 389, 482, 496]",141.5,0.0,2023-02-28 19:03:55.917958980,54
163,294,991,"[17, 18, 137, 180, 302, 355, 466, 491]",194.9,289.62,2023-03-01 03:49:47.693846924,67
164,208,958,"[63, 67, 134, 173, 241, 318, 445, 466]",166.3,0.0,2023-03-01 12:35:39.469734868,41
165,83,371,"[8, 68, 89, 116, 152, 286, 290, 295]",124.0,0.0,2023-03-01 21:21:31.245622812,63
166,143,305,"[6, 138, 150, 223, 319, 364, 429, 459]",193.2,179.54,2023-03-02 06:07:23.021510755,33
167,56,357,"[233, 243, 260, 366, 389, 401, 407, 418]",170.7,0.0,2023-03-02 14:53:14.797398699,37
168,287,148,"[17, 216, 240, 245, 284, 445, 458, 460]",214.8,0.0,2023-03-02 23:39:06.573286643,57
169,211,285,"[161, 163, 245, 256, 304, 368, 373, 500]",197.7,312.23,2023-03-03 08:24:58.349174587,29
170,179,657,"[230, 266, 294, 349, 399, 413, 455, 461]",167.1,0.0,2023-03-03 17:10:50.125062531,8
171,58,842,"[109, 114, 232, 299, 345, 384, 388, 405]",171.6,223.69,2023-03-04 01:56:41.900950475,24
172,73,873,"[16, 268, 296, 368, 381, 386, 487, 494]",175.5,94.45,2023-03-04 10:42:33.676838419,67
173,215,918,"[4, 112, 144, 200, 220, 263, 373, 409]",233.7,279.17,2023-03-04 19:28:25.452726363,78
174,266,262,"[29, 108, 333, 362, 432, 444, 453, 470]",187.9,0.0,2023-03-05 04:14:17.228614307,8
175,73,574,"[62, 97, 171, 189, 252, 279, 422, 480]",167.9,308.13,2023-03-05 13:00:09.004502251,81
176,271,491,"[32, 34, 106, 227, 286, 310, 444, 499]",220.2,0.0,2023-03-05 21:46:00.780390195,1
177,234,738,"[18, 21, 164, 207, 303, 305, 327, 351]",140.6,0.0,2023-03-06 06:31:52.556278139,38
178,19,31,"[33, 103, 114, 293, 308, 346, 450, 491]",204.1,414.06,2023-03-06 15:17:44.332166083,85
179,113,702,"[19, 23, 113, 306, 334, 363, 371, 473]",288.2,563.58,2023-03-07 00:03:36.108054027,37
180,63,887,"[143, 147, 149, 161, 259, 325, 418, 430]",154.0,0.0,2023-03-07 08:49:27.883941971,63
181,184,268,"[168, 288, 298, 337, 341, 368, 396, 479]",230.6,148.43,2023-03-07 17:35:19.659829915,39
182,277,12,"[64, 140, 274, 329, 380, 385, 401, 498]",88.9,207.7,2023-03-08 02:21:11.435717859,77
183,162,191,"[138, 141, 169, 250, 258, 296, 393, 495]",202.1,349.14,2023-03-08 11:07:03.211605803,4
184,243,400,"[38, 60, 73, 174, 290, 306, 307, 421]",131.9,0.0,2023-03-08 19:52:54.987493747,17
185,145,537,"[24, 52, 140, 231, 379, 402, 412, 499]",207.1,0.0,2023-03-09 04:38:46.763381691,36
186,146,918,"[17, 52, 64, 166, 227, 246, 275, 330]",247.8,524.35,2023-03-09 13:24:38.539269635,52
187,81,91,"[28, 81, 110, 128, 218, 227, 444, 489]",152.7,0.0,2023-03-09 22:10:30.315157579,20
188,43,600,"[17, 111, 121, 131, 153, 205, 470, 486]",182.8,0.0,2023-03-10 06:56:22.091045523,3
189,293,844,"[14, 232, 272, 293, 336, 372, 402, 419]",115.3,0.0,2023-03-10 15:42:13.866933467,9
190,176,501,"[46, 52, 64, 99, 127, 219, 307, 402]",228.5,280.96,2023-03-11 00:28:05.642821411,34
191,69,786,"[22, 48, 97, 203, 235, 273, 466, 489]",137.3,202.15,2023-03-11 09:13:57.418709355,20
192,56,301,"[34, 43, 54, 250, 290, 353, 431, 497]",259.4,0.0,2023-03-11 17:59:49.194597299,46
193,119,111,"[17, 40, 104, 146, 258, 288, 370, 474]",91.8,61.19,2023-03-12 02:45:40.970485243,87
194,204,80,"[61, 104, 108, 196, 318, 362, 435, 452]",198.7,199.18,2023-03-12 11:31:32.746373187,27
195,55,836,"[85, 147, 149, 255, 280, 388, 413, 491]",233.0,0.0,2023-03-12 20:17:24.522261131,27
196,38,652,"[4, 147, 150, 213, 262, 323, 388, 408]",184.2,0.0,2023-03-13 05:03:16.298149075,57
197,243,433,"[2, 108, 218, 225, 234, 367, 383, 429]",164.7,284.75,2023-03-13 13:49:08.074037019,14
198,201,417,"[11, 37, 77, 164, 236, 284, 435, 493]",144.1,242.46,2023-03-13 22:34:59.849924963,28
199,236,214,"[14, 160, 202, 243, 394, 402, 409, 484]",160.9,473.45,2023-03-14 07:20:51.625812907,61
200,15,447,"[88, 203, 221, 300, 308, 337, 417, 495]",176.7,441.79,2023-03-14 16:06:43.401700851,29
201,144,18,"[85, 104, 191, 216, 231, 239, 254, 341]",157.1,0.0,2023-03-15 00:52:35.177588795,94
202,77,54,"[130, 131, 191, 199, 213, 289, 332, 363]",219.4,411.35,2023-03-15 09:38:26.953476739,55
203,263,880,"[12, 55, 162, 320, 323, 395, 410, 429]",140.8,406.55,2023-03-15 18:24:18.729364682,45
204,185,609,"[117, 165, 211, 257, 280, 326, 374, 432]",182.7,0.0,2023-03-16 03:10:10.505252626,50
205,55,795,"[6, 94, 127, 167, 217, 239, 376, 481]",242.0,450.0,2023-03-16 11:56:02.281140570,62
206,4,746,"[1, 65, 109, 218, 223, 274, 278, 499]",142.9,0.0,2023-03-16 20:41:54.057028514,63
207,299,979,"[20, 29, 174, 201, 228, 401, 413, 423]",106.9,0.0,2023-03-17 05:27:45.832916458,54
208,40,240,"[146, 170, 245, 275, 283, 312, 470, 476]",232.7,0.0,2023-03-17 14:13:37.608804402,25
209,230,846,"[235, 254, 260, 341, 360, 384, 460, 485]",249.8,0.0,2023-03-17 22:59:29.384692346,74
210,286,921,"[18, 55, 156, 247, 424, 436, 452, 497]",116.5,0.0,2023-03-18 07:45:21.160580290,43
211,138,418,"[94, 97, 122, 186, 247, 373, 376, 453]",238.4,267.69,2023-03-18 16:31:12.936468234,42
212,103,856,"[105, 204, 215, 291, 357, 370, 401, 446]",198.1,0.0,2023-03-19 01:17:04.712356178,74
213,7,486,"[105, 151, 154, 214, 260, 354, 370, 499]",163.6,0.0,2023-03-19 10:02:56.488244122,64
214,164,444,"[30, 54, 230, 248, 320, 382, 430, 457]",240.0,0.0,2023-03-19 18:48:48.264132066,85
215,276,566,"[12, 164, 184, 185, 203, 208, 433, 483]",152.2,375.73,2023-03-20 03:34:40.040020010,60
216,49,599,"[13, 113, 128, 166, 243, 453, 468, 472]",219.0,0.0,2023-03-20 12:20:31.815907954,24
217,96,773,"[28, 219, 317, 430, 436, 439, 456, 482]",253.1,504.68,2023-03-20 21:06:23.591795898,42
218,59,748,"[63, 128, 152, 205, 305, 317, 375, 446]",184.2,0.0,2023-03-21 05:52:15.367683842,79
219,231,123,"[74, 89, 276, 277, 285, 375, 472, 484]",114.0,125.9,2023-03-21 14:38:07.143571786,62
220,177,420,"[4, 9, 71, 165, 199, 270, 321, 323]",101.2,0.0,2023-03-21 23:23:58.919459730,61
221,90,566,"[8, 59, 239, 332, 365, 421, 423, 435]",188.6,215.89,2023-03-22 08:09:50.695347674,57
222,282,216,"[115, 165, 220, 254, 290, 380, 428, 460]",168.2,0.0,2023-03-22 16:55:42.471235618,51
223,36,420,"[9, 10, 137, 174, 191, 199, 264, 338]",239.9,0.0,2023-03-23 01:41:34.247123562,53
224,171,709,"[34, 106, 110, 153, 231, 335, 341, 386]",160.6,0.0,2023-03-23 10:27:26.023011506,18
225,126,551,"[133, 259, 287, 303, 304, 386, 442, 469]",148.4,74.26,2023-03-23 19:13:17.798899450,93
226,299,966,"[31, 62, 90, 197, 263, 292, 392, 466]",112.0,0.0,2023-03-24 03:59:09.574787394,76
227,204,877,"[78, 153, 164, 166, 175, 196, 396, 434]",163.7,0.0,2023-03-24 12:45:01.350675338,67
228,289,228,"[24, 158, 170, 190, 378, 433, 466, 481]",78.5,0.0,2023-03-24 21:30:53.126563282,49
229,97,237,"[1, 34, 83, 120, 156, 188, 298, 385]",230.3,0.0,2023-03-25 06:16:44.902451226,78
230,238,644,"[68, 102, 123, 262, 324, 350, 375, 384]",213.6,0.0,2023-03-25 15:02:36.678339170,49
231,173,330,"[33, 79, 125, 226, 267, 372, 485, 487]",138.1,0.0,2023-03-25 23:48:28.454227114,32
232,88,833,"[46, 64, 90, 96, 326, 369, 448, 472]",175.8,0.0,2023-03-26 08:34:20.230115058,81
233,17,469,"[16, 27, 137, 139, 199, 264, 306, 339]",142.3,0.0,2023-03-26 17:20:12.006003002,44
234,140,680,"[38, 66, 80, 93, 147, 202, 358, 363]",170.3,236.9,2023-03-27 02:06:03.781890946,57
235,254,487,"[111, 113, 132, 174, 195, 286, 468, 485]",157.5,0.0,2023-03-27 10:51:55.557778890,9
236,278,549,"[1, 41, 118, 193, 202, 281, 369, 470]",195.6,144.32,2023-03-27 19:37:47.333666834,91
